id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
512,Metoprolol tartrate,Cardinal Health,2019-12-31,2022-10-06,FR02 7109 4463 9356 YKZE 9X9A R10,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
513,Carbamazepine,Apotex Corp.,2020-05-30,2023-05-16,KW38 LMHP 9QK8 FY1X XOHD T9QV XCCW 9Y,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
514,Allantoin,"AMI Cosmetic Co.,Ltd.",2020-04-12,2023-06-02,FR98 2749 9562 25VF M0VY NJBT E41,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
515,Risperidone,Gen-Source Rx,2020-08-13,2023-04-03,PS15 ZOLT FWKY YJYG R5GP Y7JN M9C1 M,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
516,diclofenac sodium and misoprostol,G.D. Searle LLC Division of Pfizer Inc,2020-06-23,2023-08-20,LB68 9432 TD0A XFNJ REL3 VHJH EJ9A,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
517,Western Water Hemp,"Nelco Laboratories, Inc.",2019-12-29,2023-02-18,BE48 3147 4495 7774,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor
518,clozapine,Mylan Pharmaceuticals Inc.,2020-02-02,2023-02-21,FO09 3744 6516 2161 23,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
519,pioglitazone hydrochloride and metformin hydrochloride,"Physicians Total Care, Inc.",2020-01-27,2024-05-22,CY62 9223 1949 KWI9 8SVA B2DT QYVT,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
520,"ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE",Unifirst First Aid Corporation,2020-03-24,2023-04-24,HU27 4554 7390 1834 9883 4648 0670,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
521,TRICLOSAN,"Volume Distributors, Inc.",2020-04-24,2023-07-09,TR69 4732 3JAD V7D4 8SSR HCHZ 6N,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
522,ALCOHOL,Mangiacotti Floral LLC,2019-12-10,2024-01-23,MK03 289C UZHY ERCO B97,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis
523,Hydromorphone Hydrochloride,"Mallinckrodt, Inc.",2019-10-03,2023-02-05,AZ94 GDBK WG47 RCG6 MWWP DFD7 IIOQ,in leo maecenas pulvinar lobortis est phasellus sit amet erat
524,Alprazolam,Cardinal Health,2020-02-15,2022-08-31,GI89 JFMT S9AB RMSO 0WGJ IP5,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
525,Oxygen Helium Mixture,Aero All Gas Company,2019-10-03,2024-02-14,SK03 5133 9654 8820 6049 9424,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
526,risperidone,"Janssen Pharmaceuticals, Inc.",2019-12-17,2023-09-09,IT11 A508 1101 554I 43TL N5YO MM9,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
527,"OAT VALERIAN ROOT OYSTER SHELL CALCIUM CARBONATE, CRUDE PHOSPHORUS SULFUR",Uriel Pharmacy Inc,2020-05-03,2024-07-24,FR34 5444 4193 09WC YY64 OKS5 Z74,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis
528,rizatriptan benzoate,Mylan Pharmaceuticals Inc.,2019-12-13,2023-12-09,FR56 1962 3508 43LV RGVU RTCA 778,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
529,estradiol valerate,Par Pharmaceutical Inc.,2020-02-28,2022-11-16,FR04 9950 5755 14MD ME6C 4WUW I93,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
530,Amitriptyline Hydrochloride,Clinical Solutions Wholesale,2020-07-02,2023-10-07,FO50 8163 6396 1886 25,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
531,Tolnaftate,"Wal-Mart Stores, Inc",2020-02-04,2024-07-26,DE27 6158 6375 6781 5900 64,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
532,Phenylephrine Hydrochloride,West-Ward Pharmaceutical Corp.,2019-08-25,2023-10-16,HU72 1321 9395 5657 8509 8906 6282,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
533,CALCIUM GLUCONATE,"APP Pharmaceuticals, LLC",2020-02-06,2024-08-04,HR06 8640 4659 8398 9026 4,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
534,Sodium Fluoride,"Chattem, Inc.",2020-03-31,2024-07-30,LU92 448I 8U5M GWQV SMSN,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
535,"Echinacea, Hydrastis Canadensis, Tabeuia Impetiginosa, Glandula Suprarenalis Suis, Thymus, Thyroidinum,","BioActive Nutritional, Inc.",2019-08-29,2023-12-28,ME74 5427 4463 2380 0465 28,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
536,Acetaminophen,Medicine Shoppe International Inc,2019-10-30,2023-02-01,FR24 8508 7570 11K1 CFRR S0DE Z29,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
537,ACTIVATED CHARCOAL,Washington Homeopathic Products,2019-12-10,2023-05-02,CZ60 6953 7709 3864 5728 9945,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
538,Immune System Booster,"Vitality Works, Inc.",2019-12-25,2023-02-20,AD55 0678 6128 JIVZ 2Y5P TZ3S,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
539,oxycodone hydrochloride,Sandoz Inc,2020-04-01,2023-12-09,FR42 8008 2737 12LO BJAS AJUI I87,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
540,Acetaminophen,HyVee Inc,2019-12-30,2023-12-25,FR39 3883 1574 733P XEYR A79Z V53,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
541,FAMOTIDINE,STAT Rx USA LLC,2019-08-25,2024-08-12,FR65 4047 3855 71GM SIQB K8IS G24,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
542,Anti-bacterial Hand Wash,"Xiamen Anna Global Co., Ltd",2020-03-10,2023-01-04,BA58 5841 9946 6018 3673,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
543,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE",Dollar General,2020-05-21,2024-04-04,FR45 7766 8836 62FN 4IUE JDEI Z04,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
544,GUAIFENESIN and Phenylephrine Hydrochloride,"MCR American Pharmaceuticals, Inc.",2020-01-20,2023-12-24,FR24 5361 9024 83L0 BJ9W XFDS E80,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
545,Iva axillaris,"Allermed Laboratories, Inc.",2020-01-09,2023-08-28,FR86 2444 6867 17KN 7OCP HW56 K19,interdum in ante vestibulum ante ipsum primis in faucibus orci
546,Chlorzoxazone,"Watson Laboratories, Inc.",2019-11-25,2024-03-24,DO09 AOGW 1208 3584 0002 8780 5978,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
547,Ramipril,"Exelan Pharmaceuticals, Inc.",2020-03-04,2023-08-26,CH74 8793 7RHJ 9J3C V1VO 1,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
548,Benzonatate,Cadila Healthcare Limited,2020-06-30,2023-08-16,NO72 3612 2293 568,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
549,Risperidone,"Amneal Pharmaceuticals of New York, LLC",2020-02-24,2024-04-17,GE27 XZ02 0927 7278 8076 03,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
550,"Arnica montana, Deer antler velvet, Hepar bovine, HGH, IGF-1, Pituitaria glandula bovine, Thuja occidentalis,",ProBLEN,2020-03-08,2024-08-16,HR86 9168 8264 8614 5888 3,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
551,Sodium Fluoride,Hello Products LLC,2020-01-17,2022-09-08,PS19 DKBW 2PAJ QI2P 6XID GG5Y MESN V,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
552,"Camphor, Mentha Oil, Menthol, Methyl Salicylate, Zinc Oxide","Sinsin Pharmaceutical Co., Ltd.",2019-12-28,2023-02-17,FR17 1441 3931 62ED XB6U EULZ 892,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
553,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,2019-09-05,2024-03-21,AL82 5480 3664 OWSF HN2E TLRF 78UB,amet turpis elementum ligula vehicula consequat morbi a ipsum integer
554,Doxapram hydrochloride,West-ward Pharmaceutical Corp.,2019-10-11,2024-01-11,SA15 70RR IA0R EZR6 O1U9 UEM7,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
555,Octinoxate and Titanium Dioxide,BCM Cosmetique SAS,2020-08-10,2024-08-15,AL92 1047 1191 DFNN D4AB PKIX PZV4,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
556,Mucinex DM Max Maximum Strength,Western Family Foods Inc.,2020-02-21,2023-08-19,MK97 918R CMN0 QDLI J35,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
557,sotalol hydrochloride,"Physicians Total Care, Inc.",2020-07-05,2022-11-15,FR56 5440 2481 57VF IFI1 V9NA 588,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor
558,"DEXTROSE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE",B. Braun Medical Inc.,2020-03-09,2023-05-29,AL96 7682 4313 IADH DDD3 PBHD 9ZVB,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
559,Hydrocortisone Lotion with Shampoo and Body Wash,Crown Laboratories,2020-02-11,2023-03-08,GR06 1784 949R DHWY PZVJ H5QI DIE,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
560,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",JAFRA COSMETICS INTERNATIONAL,2020-07-10,2023-02-02,LV31 RIOU MSEK 8L0U NTWJ 9,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
561,"piperonyl butoxide, pyrethrum extract",CVS Pharmacy,2020-08-11,2023-07-29,NO40 7365 3794 395,lacus purus aliquet at feugiat non pretium quis lectus suspendisse
562,"TITANIUM DIOXIDE, ZINC OXIDE","Cover FX Skin Care, Inc.",2020-05-17,2024-05-22,CR29 8935 1732 8316 1843 6,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
563,Labetalol HCl,Mylan Institutional Inc.,2020-01-20,2023-10-01,AL16 8567 4192 DXO1 RFBP T5PH M72X,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
564,ALCOHOL,"Core Brands, Inc.",2020-01-29,2024-06-22,MR03 1130 7549 6991 6077 5353 816,ac nulla sed vel enim sit amet nunc viverra dapibus nulla
565,mesalamine,Carilion Materials Management,2019-09-16,2023-04-06,BA43 5249 3191 8082 4178,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
566,"Colchicum autumnale, Lacticum acidum, Lycopodium clavatum, Phosphoricum acidum, Phosphorus, Syzygium jambolanum, Uranium Nitricum,",Apotheca Company,2019-09-29,2023-08-30,LT16 3619 0195 2864 9503,cum sociis natoque penatibus et magnis dis parturient montes nascetur
567,warfarin sodium,REMEDYREPACK INC.,2019-09-03,2024-04-07,TN83 8002 5553 4245 4047 8653,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
568,"Avobenzone, Octisalate, Zinc Oxide, Octinoxate, and Oxybenzone",Ventura Corporation LTD,2020-01-23,2022-11-20,GT54 K2JU H6IX HHMM JHHP THUS LNGC,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
569,Desmopressin Acetate,"Watson Laboratories, Inc.",2020-03-05,2023-11-18,IL84 7439 0046 7338 2063 678,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
570,zolpidem tartrate,TYA Pharmaceuticals,2019-10-04,2022-09-26,MT19 SRXK 2019 5TQ6 DW01 CVYN E0ND ELM,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
571,Simvastatin,"PD-Rx Pharmaceuticals, Inc.",2020-01-30,2023-04-10,HU88 6910 2200 5504 5350 9551 1402,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
572,Ibuprofen,Kroger Company,2020-01-03,2023-04-13,SA87 49QI 9SW4 RNTQ REXO DUUY,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
573,ALCOHOL,"ABC Compounding Co., Inc.",2020-03-16,2023-03-26,ES26 0533 3981 6710 5509 3619,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
574,"OCTINOXATE, TITANIUM DIOXIDE","NATURE REPUBLIC CO., LTD.",2019-09-19,2023-03-12,FR92 6209 7676 507V MSBU SJ0Q J45,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
575,Aspirin,CARDINAL HEALTH,2020-03-14,2023-04-06,SA09 25F3 BBXE DJTZ MN7E SCKX,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
576,NITROUS OXIDE,Acetylene Oxygen Company,2020-07-04,2023-12-29,FR20 1293 3468 39SB QNOC KYMH S44,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
577,CEFPODOXIME PROXETIL,NorthStar Rx LLC,2020-06-04,2022-09-07,PT54 3437 6134 3685 0249 0490 6,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
578,Metoprolol tartrate,Cardinal Health,2020-08-12,2023-04-10,IS66 0272 4906 8351 9671 5153 27,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
579,Titanium Dioxide,"TONYMOLY CO., LTD.",2019-09-03,2024-01-08,FR91 0471 8040 356I Z6QH 2RY6 L94,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
580,Triclosan,RWM TECHNOLOGIES,2020-05-30,2023-10-10,FI35 7899 6935 8821 22,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
581,Cauliflower,"Nelco Laboratories, Inc.",2019-12-15,2023-12-14,TR49 6771 5USH 4JLG NPKU JMNX RJ,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna
582,WITCH HAZEL,Vi-Jon,2020-03-09,2023-01-06,GI54 DUBT WQ5W B1IF 58VT 86I,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
583,bupropion hydrochloride,Jubilant Cadista Pharmaceuticals Inc.,2019-09-24,2023-11-24,BR92 3415 2532 3631 1690 6763 633X L,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
584,Aspirin,NASH-FINCH COMPANY,2020-07-24,2023-08-29,LU52 854M E6Y5 8XAB FD2X,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
585,Naproxen Tablets,Dr. Reddy's Laboratories Limited,2020-03-26,2022-12-22,AE64 3524 7791 3086 3225 393,enim sit amet nunc viverra dapibus nulla suscipit ligula in
586,Butabarbital Sodium,Meda Pharmaceuticals Inc.,2019-08-31,2023-11-09,AD26 4544 3272 YBVV JUKD MBCS,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
587,Brompheniramine Maleate and Phenylephrine Hydrochloride,"Allegis Pharmaceuticals, LLC",2020-07-01,2023-03-16,FR25 2398 1646 65AD 6V9V K8M8 Z37,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
588,Acetaminophen and Chlorpheniramine Maleate,"Stephen L. LaFrance Pharmacy, Inc.",2019-10-03,2024-01-04,CY35 7334 8927 88RV C1RE EWFA A0ZK,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
589,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,2020-04-28,2024-06-13,FR11 6122 6216 46TI XGAZ WD34 T07,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
590,Rivastigmine Tartrate,McKesson Packaging Services a business unit of McKesson Corporation,2020-06-22,2024-02-02,KZ37 779H 98PP SMLV MMI1,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
591,"Octinoxate, Oxybenzone, and Titanium Dioxide",Ventura Corporation LTD,2020-04-09,2024-01-12,CY23 8051 0795 OFY1 VKAQ 0O4K 0KTT,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
592,zolpidem tartrate,"Winthrop U.S, a business of sanofi-aventis U.S. LLC",2019-10-28,2023-11-09,IS89 4243 3185 7946 3847 5959 61,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
593,Benzocaine,"Cargus International, Inc.",2020-02-03,2024-03-17,CZ11 1059 6038 6782 4950 7931,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
594,"Avena Sativa, Lobelia Inflata, Cactus Grandiflorus, Tabacum, Gelsemium Sempervirens, Selenium Metallicum, Staphysagria","Deseret Biologicals, Inc.",2020-01-31,2023-04-10,TN79 8405 9236 1857 5496 5875,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
595,Acetaminophen,"AAA Pharmaceutical, Inc.",2020-02-16,2024-05-23,SM90 B332 7763 286R KJZU HM2H 9SF,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
596,"Niacinamide, Adenosine","Carver Korea Co.,Ltd",2020-04-05,2024-01-30,GL81 1398 8869 8649 34,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
597,azithromycin,REMEDYREPACK INC.,2020-01-10,2023-07-02,FI74 8044 8080 8930 64,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada
598,Carbamazepine,"Golden State Medical Supply, Inc.",2020-08-18,2023-11-10,PL95 0365 2142 0924 6657 2674 2811,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
599,Benzethonium chloride,"Coloplast Manufacturing US, LLC",2020-05-24,2024-06-30,GT20 GYMD UXQ6 WVAW IBT3 MRXU UYSA,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
600,Octinoxate and Titanium dioxide,"Kareway Product, Inc.",2019-09-12,2023-08-03,FR55 1511 7422 72ZZ HXZG PO2E E22,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
601,Allantoin,"Innocence, Inc.",2019-09-16,2023-04-05,FI66 4130 8259 3999 00,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
602,topiramate,Cadila Healthcare Limited,2019-12-03,2024-07-10,FR65 9988 0707 619E RI80 QRSO R88,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
603,"AVOBENZONE, OCTINOXATE, and OXYBENZONE",Guthy-Renker LLC,2019-12-24,2024-06-04,AL64 4545 6170 SFBF ORDS YNNI TY4X,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
604,Losartan Potassium,Teva Pharmaceuticals USA Inc,2019-12-29,2024-04-16,ME30 7138 1958 7057 3153 98,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
605,Lima Beans,"Nelco Laboratories, Inc.",2019-10-19,2023-12-15,ME25 1697 2944 3940 2445 28,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
606,Utah Juniper,"Nelco Laboratories, Inc.",2020-01-17,2023-09-22,EE77 8925 3232 5613 7520,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
607,Octinoxate,"SHISEIDO CO., LTD.",2019-08-26,2024-01-28,GL65 8233 0116 9216 44,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
608,Donepezil hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs",2020-05-09,2023-02-07,DE15 5443 7651 7209 2122 67,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
609,PRAVASTATIN SODIUM,REMEDYREPACK INC.,2020-01-10,2024-08-22,AD43 9366 5363 NYB6 YTQP XQ0Z,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
610,Progesterone,AbbVie Inc.,2019-11-17,2023-04-15,CR29 9318 4115 6194 9558 6,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
611,Zinc Oxide,"Allure Labs, Inc.",2019-09-21,2024-01-26,SE84 8535 6587 6904 1206 3708,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
612,BISACODYL,"SPIRIT PHARMACEUTICALS,LLC",2019-12-25,2022-10-20,GE86 LS18 7907 5776 8343 65,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
613,Nicotine Polacrilex,CVS Pharmacy,2020-06-27,2024-07-10,MK65 1884 FQSI BJFX R91,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
614,"icodextrin, sodium chloride, sodium lactate, calcium chloride, magnesium chloride",Baxter Healthcare Corporation,2020-01-10,2023-10-24,SE73 8267 1820 7007 7272 2517,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
615,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, HISTIDINE, PROLINE, SERINE, TYROSINE, and GLYCINE","Hospira, Inc.",2020-05-15,2023-01-30,EE35 6213 1140 5603 3309,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
616,lamotrigine,GlaxoSmithKline LLC,2019-11-26,2023-08-25,IS89 6217 0804 3601 5793 4194 20,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
617,Fexofenadine HCl,Carilion Materials Management,2019-11-12,2023-08-01,KW76 FWUV TFSN DWJQ OOAN 7ATO RW2N 2S,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
618,Oxycodone hydrochloride and Acetaminophen,"H.J. Harkins Company, Inc.",2019-09-14,2023-12-19,IE71 MABF 5102 0408 1030 46,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
619,Titanium Dioxide,"Elizabeth Arden, Inc",2019-11-21,2024-07-30,FR46 0388 8300 20QD GWAD HAZY V92,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
620,"Avobenzone, Octisalate, Octocrylene, and Oxybenzone",Ventura International LTD.,2020-05-23,2023-12-15,LU73 090W NCPV BBE5 Z4SO,turpis integer aliquet massa id lobortis convallis tortor risus dapibus
621,Titanium Dioxide,Bare Escentuals Beauty Inc.,2020-01-21,2024-01-11,FR45 2048 4066 18SV 2WCB SMM2 973,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
622,"Carisoprodol, Aspirin and Codeine Phosphate","Eon Labs, Inc.",2019-08-25,2022-12-25,KZ62 053O QPOE 4YZS NQDK,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
623,"Hypericum perforatum, Phytolacca decandra, Guaiacum, Ledum palustre, Conium maculatum,",Apotheca Company,2020-06-06,2023-03-24,MR94 8284 0695 2732 7305 9838 941,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
624,"synthetic conjugated estrogens, B",Duramed Pharmaceuticals Inc.,2019-11-27,2023-03-19,SA13 159I YIEH EQQP HCPT 6EKM,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
625,Imipramine Hydrochloride,"Lupin Pharmaceuticals, Inc.",2019-12-07,2023-09-15,GB67 AJIM 1707 5829 9387 29,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
626,Allantoin,"AMI Cosmetic Co.,Ltd.",2020-01-19,2024-05-14,LV35 UICU 5VDA NNAL LULL P,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
627,"CAMPHOR (SYNTHETIC), MENTHOL, METHYL SALICYLATE",Greenstone Pharmaceutical H.K. Inc.,2020-04-15,2024-02-13,KZ95 909L AZZW EBXB 7ZWE,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
628,Ibuprofen,Acme United Corporation,2020-07-03,2023-12-16,IT02 Y851 7413 818N E58S 9WK2 399,volutpat dui maecenas tristique est et tempus semper est quam
629,AMOXICILLIN,STAT RX USA LLC,2020-02-16,2023-03-31,IS94 5799 7485 5804 4640 1286 37,id pretium iaculis diam erat fermentum justo nec condimentum neque
630,"Acetaminophen, Aspirin, Caffeine",Family Dollar Services Inc,2020-06-24,2023-04-20,CH46 3735 4EYR J9ZV NLI3 M,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
631,bacitracin zinc,Actavis Mid Atlantic LLC,2020-05-20,2023-01-31,LI68 2193 17OT 8D7Z M7KN G,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
632,"NEOMYCIN, BACITRACIN, POLYMYXIN","Zhejiang Jingwei Pharmaceutical Co., Ltd.",2019-09-14,2024-05-23,MT12 TMBY 2960 0W1A 0ORA YRGX JY3L G2W,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
633,rotigotine,"UCB, Inc.",2020-03-27,2024-05-01,PT40 0138 3724 2196 9039 0295 8,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
634,Aspirin,BJWC (Berkley & Jensen / BJ's),2019-12-01,2022-10-07,RO82 UJRF IRQU MDMH MXA2 QNDQ,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
